"slug";"name";"website";"country";"city";"ror";"lat";"lon";"type";"is_tenant";"software_count";"project_count";"logo"
"university-medical-center-utrecht";"University Medical Center Utrecht";"https://www.umcutrecht.nl/";"Netherlands";"Utrecht";"https://ror.org/0575yy874";52.09083;5.12222;"Healthcare";"no";4;8;"https://research-software-directory.org/image/rpc/get_image?uid=87b2a2d20eb4c0359782642d5d01babd950d8da5"
"siemens";"Siemens";"https://www.siemens.com/";"Netherlands";"Amsterdam";"https://ror.org/02mt4w922";52.084371;4.335145;"Company";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=d92571e8afcca0980599d763913a1123db7ebf2c"
"physik-instrumente";"Physik Instrumente";"https://www.physikinstrumente.com/en/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=9cf8cc189b2150b9d9578bb075c4b5d48244c586"
"vitens";"Vitens";"https://www.vitens.nl/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=1d5ece7990f80000383375df4b9200828d46a9ee"
"oracle";"Oracle";"https://www.oracle.com/database/index.html";"United States";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=f0057645f3cd602c8d93bdad27971c578b9f1775"
"delft-university-of-technology";"Delft University of Technology";"http://tudelft.nl";"Netherlands";"Delft";"https://ror.org/02e2c7k09";52.00667;4.35556;"Education";"no";27;42;"https://research-software-directory.org/image/rpc/get_image?uid=9c280159ba9ecd0dec6076c7d4364d3233b89b71"
"software-for-chemicals-materials";"Software for Chemicals & Materials";;"Netherlands";"Amsterdam";"https://ror.org/025tsch51";52.332993;4.865608;"Company";"no";1;1;"https://research-software-directory.org/image/rpc/get_image?uid=7de66e00fd01216ed919253f7d3ca947b7c0f4eb"
"technische-universitat-braunschweig";"Technische Universität Braunschweig";;"Germany";"Braunschweig";"https://ror.org/010nsgg66";52.26594;10.52673;"Education";"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=2b9bcfdcff8de66bed6931de879b8798c09f5a31"
"offshorewind4kids";"OffshoreWind4Kids";"https://www.offshorewind4kids.com/";;;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=ddee0c2fb0814dac489af50f342017e052dadde4"
"naturalis-biodiversity-center";"Naturalis Biodiversity Center";"http://www.naturalis.nl/";"Netherlands";"Leiden";"https://ror.org/0566bfb96";52.15833;4.49306;"Archive";"no";1;1;"https://research-software-directory.org/image/rpc/get_image?uid=28445c70b326195b958111141f3797ae490bcc76"
"royal-netherlands-institute-for-sea-research";"Royal Netherlands Institute for Sea Research";"https://www.nioz.nl/en";"Netherlands";"Den Burg";"https://ror.org/01gntjh03";53.05417;4.79722;"Facility";"no";0;2;"https://research-software-directory.org/image/rpc/get_image?uid=7cc0067d1af72a6a241308b0066f1249a0f06789"
"meijer";"Meijer";;"Netherlands";;;;;;"no";0;1;"https://research-software-directory.org/image/rpc/get_image?uid=ea39c46a1734afab4d06a6d8ea49574395973b7f"
"radboud-university-nijmegen";"Radboud University Nijmegen";"http://www.ru.nl/";"The Netherlands";"Nijmegen";"https://ror.org/016xsfp80";51.8425;5.85278;"Education";"no";22;21;"https://research-software-directory.org/image/rpc/get_image?uid=61e31c627f82da5c0b49107783b01dbca4c7a3fe"
